custconc,P7Index_1,P7Index_2,P7Index_4,P7Index_5,P7Index_6,P7Index_7,P7Index_8,P7Index_9,P7Index_10,P7Index_11,P5Index_1,P5Index_2,P5Index_3,P5Index_4,P5Index_5,P5Index_6,P5Index_7,iconc,itwosixty_twoeighty,itwosixty_twothirty,iRNA,iSize,iAve,ioutlier,istd,icd5,Conc_FA,RQN,28S_18S,ul_Buffer,filiconc,filitwosixty_twoeighty,fili260_230 ,fliiYield,filiSize,filiAve,filiOutlier,filiStd,filicv5
89.78,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,89.78,2,2.53,11.13833816,371,12.18,0,0.07,0.01,39.7444,10,2.6,2.79,26.14,1.8,2.47,784.2,371,8.737868418,0,0.073019334,0.008356653
69.65,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,69.65,1.97,2.28,14.35750179,374,11.75,0,0.21,0.02,22.639,10,2.1,2.65,23.32,1.76,2.22,699.6,374,9.197275334,0,0.315502501,0.034303909
53.95,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,53.95,2,8.1,18.53568119,386,15.18,1,0.19,0.01,27.1424,10,1.6,3.66,33.48,2.13,2.43,1004.4,386,7.985519296,1,0.005813847,0.000728049
60.16,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,60.16,1.95,7.19,16.62234043,404,13.62,0,0.47,0.04,34.593,10,1.8,3.53,26.95,2.28,2.84,808.5,404,8.28780316,0,0.38534664,0.046495631
98.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,98.6,1.91,4.73,10.14198783,418,14.64,1,0.68,0.05,90.7635,10,1.7,3.52,28.5,2.14,2.68,855,418,8.291140449,1,0.206422927,0.024896807
343.69,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,343.69,2.11,2.51,2.909598766,343,11.76,0,0.36,0.03,137.4236,10,2.4,2.81,24.45,1.91,2.26,733.5,343,8.658518469,0,0.339192673,0.039174447
148.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,148.75,2.05,2.51,6.722689076,363,10.08,0,0.14,0.01,46.7794,10,2.1,3.27,30.39,1.77,2.18,911.7,363,7.44384311,0,0.087038567,0.011692692
130.19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,130.19,2.04,2.55,7.681081496,366,13.04,0,0.17,0.01,46.0987,10,2.3,2.75,12.23,1.94,1.91,366.9,366,8.850496666,0,0.349345052,0.039471802
81.37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,81.37,1.99,2.42,12.2895416,368,11.76,0,0.47,0.04,28.063,10,2.4,2.56,35.27,1.84,2.31,1058.1,368,9.516061012,0,0.280063843,0.029430648
67.91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,67.91,1.97,2.49,14.72537182,370,13.22,0,0.25,0.02,20.7991,10,2.2,2.43,36.08,1.93,2.3,1082.4,370,10.00034138,0,0.321370554,0.032135958
62.24,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,62.24,2.05,2.46,16.06683805,358,12.54,0,0.15,0.01,24.7359,10,2.1,2.87,14.68,1.73,2.17,440.4,358,8.476776665,0,0.230507311,0.027192802
64.07,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64.07,2,3.02,15.60792883,370,12.42,0,0.12,0.01,37.9764,10,1.7,3.02,17.5,1.67,2.92,525,370,8.731393034,0,0.211849123,0.024262924
61.55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,61.55,2.21,2.72,16.2469537,402,10.95,1,0.62,0.06,26.6188,10,1.8,2.78,30.11,1.88,2.4,903.3,402,9.468621761,0,0.331280704,0.034987215
63.84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,63.84,2.02,2.81,15.6641604,371,10.91,0,0.13,0.01,30.648,10,1.5,3.07,17.51,1.57,2.41,525.3,371,8.586795761,0,0.307470523,0.035807364
82.36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,82.36,1.99,5.11,12.14181642,377,14.38,1,0.37,0.03,98.5629,10,1.8,3.5,12.18,3.61,3.84,365.4,377,8.359923108,0,0.209793061,0.025095095
68.69,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,68.69,1.97,6.5,14.55815985,371,16.74,0,0.48,0.03,34.1766,10,1.9,3.03,35.47,2.03,2.46,1064.1,371,9.650809039,1,0.346483682,0.035902035
67.32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,67.32,2.05,7.37,14.85442662,385,17.85,0,0.32,0.02,37.5952,10,2,3.32,31.29,2.15,2.84,938.7,385,8.79068199,0,0.386749741,0.043995419
87.45,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,87.45,2.02,2.5,11.43510577,360,12.28,0,0.25,0.02,28.9055,10,2.6,2.86,12.87,1.81,2.3,386.1,360,8.507485767,0,0.420713119,0.04945211
65.8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,65.8,1.95,2.55,15.19756839,380,13.72,1,0.42,0.03,17.2325,10,1.1,2.76,19.06,1.68,2.01,571.8,380,8.83595028,0,0.381274772,0.043150398
67.87,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,67.87,1.99,2.42,14.73405039,368,11.49,0,0.14,0.01,21.3033,10,2.4,2.78,22.25,1.78,2.01,667.5,368,8.752811037,0,0.297539975,0.033993648
54.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,54.3,1.9,2.47,18.41620626,379,10.66,0,0.25,0.02,22.2162,10,2.3,2.84,19.18,2.05,2.28,575.4,379,8.559494967,0,0.271480094,0.031716836
87.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,87.33,1.97,2.47,11.45081873,366,10.89,0,0.15,0.01,27.082,10,2.2,2.78,19.53,1.78,2.14,585.9,366,8.763982211,0,0.136357636,0.015558867
64.32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,64.32,2.06,2.55,15.54726368,373,9.86,0,0.27,0.03,30.7054,10,2.4,2.76,12.84,1.72,2.01,385.2,373,8.814921419,0,0.315885453,0.035835311
71.04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71.04,1.99,2.45,14.07657658,373,12.64,1,0.02,0,27.1688,10,2.3,2.48,17.48,1.57,2.14,524.4,373,9.810707796,0,0.427791944,0.043604595
94.77,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,94.77,1.97,2.5,10.5518624,376,4.48,0,0.06,0.01,27.1566,10,2.1,4.29,3.88,1.62,2.21,116.4,376,5.679277109,0,0.157255328,0.027689321
45.56,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,45.56,1.96,2.29,21.94907814,359,11.63,0,0.21,0.02,18.5508,10,2.3,2.67,13.49,1.67,2.03,404.7,359,9.114560848,0,0.234229539,0.02569839
57.43,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,57.43,1.92,2.38,17.41250218,374,12.28,1,0.21,0.02,20.2072,10,2.1,2.67,13.64,1.46,1.39,409.2,374,9.124163892,1,0.034910042,0.003826109
58.38,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,58.38,1.96,2.37,17.12915382,357,10.84,0,0.27,0.03,22.257,10,2.4,2.87,16.28,1.63,1.92,488.4,357,8.475588742,0,0.148600896,0.017532811
39.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,39.5,2.11,1.61,25.3164557,352,12.29,0,0.38,0.03,22.1915,10,2.4,2.76,32.14,1.79,2.1,964.2,352,8.835293558,0,0.306350251,0.034673466
70.86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70.86,2,2.95,14.11233418,368,13.88,1,0.01,0,29.4891,10,1.4,3.12,35.54,1.71,2.36,1066.2,368,8.461586919,0,0.134595335,0.01590663
94.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.67,1.95,2.86,10.56300834,368,13.56,0,0.35,0.03,73.8976,9.9,1.6,2.82,16.03,1.84,2.49,480.9,368,9.335252751,1,0.503798985,0.053967364
73.25,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,73.25,1.97,2.72,13.65187713,394,13.34,1,0.22,0.02,39.7294,10,1.6,3.14,53.99,1.81,2.22,1619.7,394,8.404507032,1,0.080592026,0.009589144
67.33,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,67.33,1.97,3.02,14.85222041,361,0.89,0,0.03,0.04,28.4422,9.7,1.6,3.02,45.2,1.88,2.26,77.4,361,8.725561351,0,0.279475029,0.032029461
92.07,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,92.07,1.93,2.92,10.86130118,366,10.91,1,0.26,0.02,41.9251,10,2,3.1,37.5,1.74,2.35,1125,366,8.503739305,1,0.093587243,0.011005422
88.87,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,88.87,1.96,2.97,11.25239113,383,11.75,1,0.76,0.06,11.9703,9.4,2,2.8,33.47,1.79,2.28,1004.1,383,9.412159262,1,0.16778247,0.01782614
71.53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,71.53,1.93,2.45,13.98014819,351,6.81,1,0.16,0.02,20.453,10,2.2,2,5.62,1.46,1.57,168.6,351,12.17447656,1,0.261525035,0.021481419
95.72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,95.72,1.97,2.46,10.44713748,376,12.21,0,0.22,0.02,43.7469,10,2.3,2.71,10.8,1.69,2.74,324,376,8.979324357,0,0.091643714,0.010206081
